frequency(f)/kHz,¦¤f,pk-pk,¦¤V,phase,¦¤phase,¦¤phase/pd,angular pd,,angular frequency(rad/s)
30,0.1,,,3,3,,,,6509.437172
35,0.1,,,5,3,,,,6604.930138
39.9,0.1,,,2,2,,,,6684.50761
40.9,0.1,1.03,0.01,,,1,,,6843.662553
41.5,0.1,1.06,0.03,,,,,,7002.817496
42,0.1,1.07,0.03,,,,,,7066.479473
43,0.1,1.14,0.01,,,,,,7146.056945
44,0.1,1.18,0.02,,,,,,7225.634416
44.4,0.1,1.25,0.01,,,,,,7305.211888
44.9,0.1,1.29,0.01,,,,,,7400.704854
45,0.1,,,12,1,,,,7464.366831
45.4,0.1,1.34,0.02,,,,,,7559.859797
45.9,0.1,1.38,0.01,,,,,,7639.437268
46.5,0.1,1.43,0.02,,,,,,7703.099246
46.9,0.1,1.47,0.02,,,,,,7798.592212
47.5,0.1,1.53,0.01,,,,,,7878.169683
48,0.1,1.58,0,,,,,,7957.747155
48.4,0.1,1.66,0.01,,,,,,8037.324626
49,0.1,1.73,0.01,,,,,,8116.902098
49.5,0.1,1.8,0,,,,,,8196.479569
50,0.2,1.73,0.01,,,,,,8260.141546
50.5,0.1,1.99,0.01,,,,,,8355.634512
51,0.2,1.9,0.01,,,,,,8435.211984
51.5,0.1,2.2,0.01,,,,,,8514.789455
51.9,0.1,2.32,0.01,,,,,,8610.282421
52.5,0.1,2.46,0.01,,,,,,8673.944399
52.8,0.1,2.57,0.01,34,1,,,,8753.52187
53,0.2,2.38,0.01,,,,,,8833.099342
53.5,0.1,2.78,0.02,,,,,,8912.676813
54.1,0.1,2.93,0.01,,,,,,8928.592307
54.5,0.1,3.1,0.01,,,,,,8944.507802
55,0.2,3,0.03,52,1,,,,8960.423296
55.5,0.1,3.42,0.01,,,,,,8976.33879
56,0.1,3.54,0.01,64,1,,,,8992.254285
56.1,0.1,3.58,0.01,,,,,,9008.169779
56.2,0.1,3.61,0.03,,,,,,9024.085273
56.3,0.1,3.63,0.01,,,,,,9040.000768
56.4,0.1,3.61,0.03,,,,,,9055.916262
56.5,0.1,3.66,0.01,,,,,,9071.831756
56.6,0.1,3.56,0.01,,,,,,9087.747251
56.7,0.1,3.58,0.01,,,,,,9103.662745
56.8,0.1,3.58,0.01,,,,,,9119.578239
56.9,0.1,3.59,0.01,,,,,,9135.493733
57,0.1,3.63,0.01,80,1,,,,9151.409228
57.1,0.1,3.63,0.01,,,,,,9167.324722
57.2,0.1,3.62,0.02,,,,,,9183.240216
57.3,0.1,3.62,0.02,,,,,,9199.155711
57.4,0.1,3.62,0.02,,,,,,9215.071205
57.5,0.1,3.59,0.01,88,1,,,,9230.986699
57.6,0.1,3.59,0.01,,,,,,9390.141642
57.7,0.1,3.56,0.02,,,,,,9549.296586
57.8,0.1,3.55,0.01,,,,,,9708.451529
57.9,0.1,3.54,0.01,,,,,,9867.606472
58,0.1,3.52,0.02,96,1,,,,10026.76141
59,0.4,3.28,0.02,110,2,,,,10185.91636
60,0.1,2.9,0.01,122,1,,,,10345.0713
61,0.3,2.62,0.01,130,1,,,,10504.22624
62,0.1,2.25,0.01,138,1,,,,10663.38119
63,0.3,2.01,0.01,143,1,,,,10822.53613
64,0.1,1.76,0.01,147,1,,,,10981.69107
65,0.1,1.56,0.02,151,1,,,,11140.84602
66,0.1,1.42,0.01,,,,,,
67,0.1,1.29,0.01,,,,,,
68,0.1,1.18,0.01,,,,,,
69,0.2,1.08,0.02,,,,,,
70,0.2,1,0.02,,,,,,
70,0.2,,,161,2,,,,
74.9,0.2,,,165,2,,,,
79.9,0.2,,,169,2,,,,
